  9809     SPring-8 14b2 
 Fe-K_Fe-foil_S  12.06.21 07:32 - 12.06.21 07:36
 Fe-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09889 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   282.500   132.700
  16.88324  16.88411     0.051     13394     12668
  16.88240  16.88330     0.051     13412     12683
  16.88156  16.88254     0.051     13401     12683
  16.88072  16.88185     0.051     13407     12694
  16.87988  16.88114     0.051     13409     12698
  16.87904  16.88041     0.051     13407     12699
  16.87820  16.87966     0.051     13419     12716
  16.87736  16.87880     0.051     13411     12712
  16.87652  16.87788     0.051     13420     12723
  16.87568  16.87698     0.051     13416     12721
  16.87484  16.87607     0.051     13423     12732
  16.87400  16.87517     0.051     13425     12736
  16.87316  16.87432     0.051     13416     12738
  16.87232  16.87349     0.051     13433     12758
  16.87148  16.87271     0.051     13424     12752
  16.87064  16.87200     0.051     13442     12771
  16.86980  16.87130     0.051     13434     12769
  16.86896  16.87057     0.051     13440     12775
  16.86812  16.86982     0.051     13440     12783
  16.86728  16.86899     0.051     13439     12788
  16.86644  16.86808     0.051     13449     12798
  16.86560  16.86718     0.051     13442     12791
  16.86476  16.86628     0.051     13453     12810
  16.86392  16.86536     0.051     13449     12811
  16.86308  16.86451     0.051     13452     12819
  16.86224  16.86369     0.051     13453     12825
  16.86140  16.86290     0.051     13452     12824
  16.86056  16.86218     0.051     13466     12841
  16.85972  16.86149     0.051     13457     12835
  16.85888  16.86076     0.051     13472     12854
  16.85804  16.86002     0.051     13468     12853
  16.85720  16.85922     0.051     13472     12860
  16.85636  16.85831     0.051     13474     12866
  16.85552  16.85740     0.051     13473     12872
  16.85468  16.85650     0.051     13486     12882
  16.85384  16.85559     0.051     13473     12879
  16.85300  16.85472     0.051     13490     12893
  16.85216  16.85390     0.051     13487     12899
  16.85132  16.85309     0.051     13487     12904
  16.85048  16.85235     0.051     13489     12908
  16.84964  16.85166     0.051     13497     12912
  16.84880  16.85093     0.051     13500     12933
  16.84796  16.85019     0.051     13492     12922
  16.84712  16.84941     0.051     13504     12941
  16.84628  16.84852     0.051     13501     12943
  16.84544  16.84760     0.051     13503     12946
  16.84460  16.84670     0.051     13508     12949
  16.84376  16.84578     0.051     13509     12955
  16.84292  16.84489     0.051     13518     12968
  16.84208  16.84405     0.051     13502     12966
  16.84124  16.84323     0.051     13521     12983
  16.84040  16.84247     0.051     13520     12978
  16.83956  16.84178     0.051     13521     12991
  16.83872  16.84107     0.051     13527     12995
  16.83788  16.84033     0.051     13524     13004
  16.83704  16.83957     0.051     13533     13015
  16.83620  16.83870     0.051     13526     13007
  16.83536  16.83777     0.051     13542     13024
  16.83452  16.83688     0.051     13530     13023
  16.83368  16.83597     0.051     13541     13037
  16.83284  16.83507     0.051     13537     13040
  16.83200  16.83424     0.051     13535     13044
  16.83116  16.83342     0.051     13549     13057
